0.00°F  ----> -17.78°C 
111.00°F  ----> 43.89°C 
112.00°F  ----> 44.44°C 
113.00°F  ----> 45.00°C 
114.00°F  ----> 45.56°C 
115.00°F  ----> 46.11°C 
116.00°F  ----> 46.67°C 
117.00°F  ----> 47.22°C 
118.00°F  ----> 47.78°C 
119.00°F  ----> 48.33°C 
120.00°F  ----> 48.89°C 
121.00°F  ----> 49.44°C 
122.00°F  ----> 50.00°C 
123.00°F  ----> 50.56°C 
124.00°F  ----> 51.11°C 
125.00°F  ----> 51.67°C 
126.00°F  ----> 52.22°C 
127.00°F  ----> 52.78°C 
128.00°F  ----> 53.33°C 
129.00°F  ----> 53.89°C 
130.00°F  ----> 54.44°C 
131.00°F  ----> 55.00°C 
132.00°F  ----> 55.56°C 
133.00°F  ----> 56.11°C 
134.00°F  ----> 56.67°C 
135.00°F  ----> 57.22°C 
136.00°F  ----> 57.78°C 
137.00°F  ----> 58.33°C 
138.00°F  ----> 58.89°C 
139.00°F  ----> 59.44°C 
140.00°F  ----> 60.00°C 
141.00°F  ----> 60.56°C 
142.00°F  ----> 61.11°C 
143.00°F  ----> 61.67°C 
144.00°F  ----> 62.22°C 
145.00°F  ----> 62.78°C 
146.00°F  ----> 63.33°C 
147.00°F  ----> 63.89°C 
148.00°F  ----> 64.44°C 
149.00°F  ----> 65.00°C 
150.00°F  ----> 65.56°C 
151.00°F  ----> 66.11°C 
152.00°F  ----> 66.67°C 
153.00°F  ----> 67.22°C 
154.00°F  ----> 67.78°C 
155.00°F  ----> 68.33°C 
156.00°F  ----> 68.89°C 
157.00°F  ----> 69.44°C 
158.00°F  ----> 70.00°C 
159.00°F  ----> 70.56°C 
160.00°F  ----> 71.11°C 
161.00°F  ----> 71.67°C 
162.00°F  ----> 72.22°C 
163.00°F  ----> 72.78°C 
164.00°F  ----> 73.33°C 
165.00°F  ----> 73.89°C 
166.00°F  ----> 74.44°C 
167.00°F  ----> 75.00°C 
168.00°F  ----> 75.56°C 
169.00°F  ----> 76.11°C 
170.00°F  ----> 76.67°C 
171.00°F  ----> 77.22°C 
172.00°F  ----> 77.78°C 
173.00°F  ----> 78.33°C 
174.00°F  ----> 78.89°C 
175.00°F  ----> 79.44°C 
176.00°F  ----> 80.00°C 
177.00°F  ----> 80.56°C 
178.00°F  ----> 81.11°C 
179.00°F  ----> 81.67°C 
180.00°F  ----> 82.22°C 
181.00°F  ----> 82.78°C 
182.00°F  ----> 83.33°C 
183.00°F  ----> 83.89°C 
184.00°F  ----> 84.44°C 
185.00°F  ----> 85.00°C 
186.00°F  ----> 85.56°C 
187.00°F  ----> 86.11°C 
188.00°F  ----> 86.67°C 
189.00°F  ----> 87.22°C 
190.00°F  ----> 87.78°C 
191.00°F  ----> 88.33°C 
192.00°F  ----> 88.89°C 
193.00°F  ----> 89.44°C 
194.00°F  ----> 90.00°C 
195.00°F  ----> 90.56°C 
196.00°F  ----> 91.11°C 
197.00°F  ----> 91.67°C 
198.00°F  ----> 92.22°C 
199.00°F  ----> 92.78°C 
200.00°F  ----> 93.33°C 
201.00°F  ----> 93.89°C 
202.00°F  ----> 94.44°C 
203.00°F  ----> 95.00°C 
204.00°F  ----> 95.56°C 
205.00°F  ----> 96.11°C 
206.00°F  ----> 96.67°C 
207.00°F  ----> 97.22°C 
208.00°F  ----> 97.78°C 
209.00°F  ----> 98.33°C 
210.00°F  ----> 98.89°C 
211.00°F  ----> 99.44°C 
212.00°F  ----> 100.00°C 
213.00°F  ----> 100.56°C 
214.00°F  ----> 101.11°C 
215.00°F  ----> 101.67°C 
216.00°F  ----> 102.22°C 
217.00°F  ----> 102.78°C 
218.00°F  ----> 103.33°C 
219.00°F  ----> 103.89°C 
220.00°F  ----> 104.44°C 
221.00°F  ----> 105.00°C 
222.00°F  ----> 105.56°C 
223.00°F  ----> 106.11°C 
224.00°F  ----> 106.67°C 
225.00°F  ----> 107.22°C 
226.00°F  ----> 107.78°C 
227.00°F  ----> 108.33°C 
228.00°F  ----> 108.89°C 
229.00°F  ----> 109.44°C 
230.00°F  ----> 110.00°C 
231.00°F  ----> 110.56°C 
232.00°F  ----> 111.11°C 
233.00°F  ----> 111.67°C 
234.00°F  ----> 112.22°C 
235.00°F  ----> 112.78°C 
236.00°F  ----> 113.33°C 
237.00°F  ----> 113.89°C 
238.00°F  ----> 114.44°C 
239.00°F  ----> 115.00°C 
240.00°F  ----> 115.56°C 
241.00°F  ----> 116.11°C 
242.00°F  ----> 116.67°C 
243.00°F  ----> 117.22°C 
244.00°F  ----> 117.78°C 
245.00°F  ----> 118.33°C 
246.00°F  ----> 118.89°C 
247.00°F  ----> 119.44°C 
248.00°F  ----> 120.00°C 
249.00°F  ----> 120.56°C 
250.00°F  ----> 121.11°C 
251.00°F  ----> 121.67°C 
252.00°F  ----> 122.22°C 
253.00°F  ----> 122.78°C 
254.00°F  ----> 123.33°C 
255.00°F  ----> 123.89°C 
256.00°F  ----> 124.44°C 
257.00°F  ----> 125.00°C 
258.00°F  ----> 125.56°C 
259.00°F  ----> 126.11°C 
260.00°F  ----> 126.67°C 
261.00°F  ----> 127.22°C 
262.00°F  ----> 127.78°C 
263.00°F  ----> 128.33°C 
264.00°F  ----> 128.89°C 
265.00°F  ----> 129.44°C 
266.00°F  ----> 130.00°C 
267.00°F  ----> 130.56°C 
268.00°F  ----> 131.11°C 
269.00°F  ----> 131.67°C 
270.00°F  ----> 132.22°C 
271.00°F  ----> 132.78°C 
272.00°F  ----> 133.33°C 
273.00°F  ----> 133.89°C 
274.00°F  ----> 134.44°C 
275.00°F  ----> 135.00°C 
276.00°F  ----> 135.56°C 
277.00°F  ----> 136.11°C 
278.00°F  ----> 136.67°C 
279.00°F  ----> 137.22°C 
280.00°F  ----> 137.78°C 
281.00°F  ----> 138.33°C 
282.00°F  ----> 138.89°C 
283.00°F  ----> 139.44°C 
284.00°F  ----> 140.00°C 
285.00°F  ----> 140.56°C 
286.00°F  ----> 141.11°C 
287.00°F  ----> 141.67°C 
288.00°F  ----> 142.22°C 
289.00°F  ----> 142.78°C 
290.00°F  ----> 143.33°C 
291.00°F  ----> 143.89°C 
292.00°F  ----> 144.44°C 
293.00°F  ----> 145.00°C 
294.00°F  ----> 145.56°C 
295.00°F  ----> 146.11°C 
296.00°F  ----> 146.67°C 
297.00°F  ----> 147.22°C 
298.00°F  ----> 147.78°C 
299.00°F  ----> 148.33°C 
300.00°F  ----> 148.89°C 
